"Wochentag";"Datum";"Abfallart"
"Dienstag";"14.01.2025";"Weihnachtsbäume"
"Donnerstag";"02.01.2025";"Restmüll"
"Mittwoch";"15.01.2025";"Restmüll"
"Mittwoch";"29.01.2025";"Restmüll"
"Mittwoch";"12.02.2025";"Restmüll"
"Mittwoch";"26.02.2025";"Restmüll"
"Mittwoch";"12.03.2025";"Restmüll"
"Mittwoch";"26.03.2025";"Restmüll"
"Mittwoch";"09.04.2025";"Restmüll"
"Donnerstag";"24.04.2025";"Restmüll"
"Mittwoch";"07.05.2025";"Restmüll"
"Mittwoch";"21.05.2025";"Restmüll"
"Mittwoch";"04.06.2025";"Restmüll"
"Mittwoch";"18.06.2025";"Restmüll"
"Mittwoch";"02.07.2025";"Restmüll"
"Mittwoch";"16.07.2025";"Restmüll"
"Mittwoch";"30.07.2025";"Restmüll"
"Mittwoch";"13.08.2025";"Restmüll"
"Mittwoch";"27.08.2025";"Restmüll"
"Mittwoch";"10.09.2025";"Restmüll"
"Mittwoch";"24.09.2025";"Restmüll"
"Mittwoch";"08.10.2025";"Restmüll"
"Mittwoch";"22.10.2025";"Restmüll"
"Mittwoch";"05.11.2025";"Restmüll"
"Mittwoch";"19.11.2025";"Restmüll"
"Mittwoch";"03.12.2025";"Restmüll"
"Mittwoch";"17.12.2025";"Restmüll"
"Mittwoch";"31.12.2025";"Restmüll"
"Donnerstag";"02.01.2025";"Bio"
"Mittwoch";"08.01.2025";"Bio"
"Mittwoch";"15.01.2025";"Bio"
"Mittwoch";"22.01.2025";"Bio"
"Mittwoch";"29.01.2025";"Bio"
"Mittwoch";"05.02.2025";"Bio"
"Mittwoch";"12.02.2025";"Bio"
"Mittwoch";"19.02.2025";"Bio"
"Mittwoch";"26.02.2025";"Bio"
"Mittwoch";"05.03.2025";"Bio"
"Mittwoch";"12.03.2025";"Bio"
"Mittwoch";"19.03.2025";"Bio"
"Mittwoch";"26.03.2025";"Bio"
"Mittwoch";"02.04.2025";"Bio"
"Mittwoch";"09.04.2025";"Bio"
"Mittwoch";"16.04.2025";"Bio"
"Donnerstag";"24.04.2025";"Bio"
"Mittwoch";"30.04.2025";"Bio"
"Mittwoch";"07.05.2025";"Bio"
"Mittwoch";"14.05.2025";"Bio"
"Mittwoch";"21.05.2025";"Bio"
"Mittwoch";"28.05.2025";"Bio"
"Mittwoch";"04.06.2025";"Bio"
"Donnerstag";"12.06.2025";"Bio"
"Mittwoch";"18.06.2025";"Bio"
"Mittwoch";"25.06.2025";"Bio"
"Mittwoch";"02.07.2025";"Bio"
"Mittwoch";"09.07.2025";"Bio"
"Mittwoch";"16.07.2025";"Bio"
"Mittwoch";"23.07.2025";"Bio"
"Mittwoch";"30.07.2025";"Bio"
"Mittwoch";"06.08.2025";"Bio"
"Mittwoch";"13.08.2025";"Bio"
"Mittwoch";"20.08.2025";"Bio"
"Mittwoch";"27.08.2025";"Bio"
"Mittwoch";"03.09.2025";"Bio"
"Mittwoch";"10.09.2025";"Bio"
"Mittwoch";"17.09.2025";"Bio"
"Mittwoch";"24.09.2025";"Bio"
"Mittwoch";"01.10.2025";"Bio"
"Mittwoch";"08.10.2025";"Bio"
"Mittwoch";"15.10.2025";"Bio"
"Mittwoch";"22.10.2025";"Bio"
"Mittwoch";"29.10.2025";"Bio"
"Mittwoch";"05.11.2025";"Bio"
"Mittwoch";"12.11.2025";"Bio"
"Mittwoch";"19.11.2025";"Bio"
"Mittwoch";"26.11.2025";"Bio"
"Mittwoch";"03.12.2025";"Bio"
"Mittwoch";"10.12.2025";"Bio"
"Mittwoch";"17.12.2025";"Bio"
"Dienstag";"23.12.2025";"Bio"
"Mittwoch";"31.12.2025";"Bio"
"Mittwoch";"08.01.2025";"Papier"
"Mittwoch";"22.01.2025";"Papier"
"Mittwoch";"05.02.2025";"Papier"
"Mittwoch";"19.02.2025";"Papier"
"Mittwoch";"05.03.2025";"Papier"
"Mittwoch";"19.03.2025";"Papier"
"Mittwoch";"02.04.2025";"Papier"
"Mittwoch";"16.04.2025";"Papier"
"Mittwoch";"30.04.2025";"Papier"
"Mittwoch";"14.05.2025";"Papier"
"Mittwoch";"28.05.2025";"Papier"
"Donnerstag";"12.06.2025";"Papier"
"Mittwoch";"25.06.2025";"Papier"
"Mittwoch";"09.07.2025";"Papier"
"Mittwoch";"23.07.2025";"Papier"
"Mittwoch";"06.08.2025";"Papier"
"Mittwoch";"20.08.2025";"Papier"
"Mittwoch";"03.09.2025";"Papier"
"Mittwoch";"17.09.2025";"Papier"
"Mittwoch";"01.10.2025";"Papier"
"Mittwoch";"15.10.2025";"Papier"
"Mittwoch";"29.10.2025";"Papier"
"Mittwoch";"12.11.2025";"Papier"
"Mittwoch";"26.11.2025";"Papier"
"Mittwoch";"10.12.2025";"Papier"
"Dienstag";"23.12.2025";"Papier"
"Freitag";"10.01.2025";"Gelbe Tonne"
"Freitag";"24.01.2025";"Gelbe Tonne"
"Freitag";"07.02.2025";"Gelbe Tonne"
"Freitag";"21.02.2025";"Gelbe Tonne"
"Freitag";"07.03.2025";"Gelbe Tonne"
"Freitag";"21.03.2025";"Gelbe Tonne"
"Freitag";"04.04.2025";"Gelbe Tonne"
"Donnerstag";"17.04.2025";"Gelbe Tonne"
"Samstag";"03.05.2025";"Gelbe Tonne"
"Freitag";"16.05.2025";"Gelbe Tonne"
"Samstag";"31.05.2025";"Gelbe Tonne"
"Samstag";"14.06.2025";"Gelbe Tonne"
"Freitag";"27.06.2025";"Gelbe Tonne"
"Freitag";"11.07.2025";"Gelbe Tonne"
"Freitag";"25.07.2025";"Gelbe Tonne"
"Freitag";"08.08.2025";"Gelbe Tonne"
"Freitag";"22.08.2025";"Gelbe Tonne"
"Freitag";"05.09.2025";"Gelbe Tonne"
"Freitag";"19.09.2025";"Gelbe Tonne"
"Samstag";"04.10.2025";"Gelbe Tonne"
"Freitag";"17.10.2025";"Gelbe Tonne"
"Freitag";"31.10.2025";"Gelbe Tonne"
"Freitag";"14.11.2025";"Gelbe Tonne"
"Freitag";"28.11.2025";"Gelbe Tonne"
"Freitag";"12.12.2025";"Gelbe Tonne"
"Samstag";"27.12.2025";"Gelbe Tonne"
"Freitag";"10.01.2025";"Glas"
"Freitag";"07.02.2025";"Glas"
"Freitag";"07.03.2025";"Glas"
"Freitag";"04.04.2025";"Glas"
"Samstag";"03.05.2025";"Glas"
"Samstag";"31.05.2025";"Glas"
"Freitag";"27.06.2025";"Glas"
"Freitag";"25.07.2025";"Glas"
"Freitag";"22.08.2025";"Glas"
"Freitag";"19.09.2025";"Glas"
"Freitag";"17.10.2025";"Glas"
"Freitag";"14.11.2025";"Glas"
"Freitag";"12.12.2025";"Glas"
"Mittwoch";"08.01.2025";"Schadstoffmobil"
"Mittwoch";"05.03.2025";"Schadstoffmobil"
"Mittwoch";"09.04.2025";"Schadstoffmobil"
"Mittwoch";"21.05.2025";"Schadstoffmobil"
"Mittwoch";"02.07.2025";"Schadstoffmobil"
"Mittwoch";"03.09.2025";"Schadstoffmobil"
"Mittwoch";"01.10.2025";"Schadstoffmobil"
"Mittwoch";"19.11.2025";"Schadstoffmobil"
"Samstag";"22.03.2025";"Schadstoffmobil"
"Samstag";"10.05.2025";"Schadstoffmobil"
"Samstag";"25.10.2025";"Schadstoffmobil"
"Samstag";"02.08.2025";"Schadstoffmobil"
